ID	Driver	RelativePos	RelativeQuali
2000-European Grand Prix-Benneton	Giancarlo Fisichella	7	0.681
2000-European Grand Prix-Benneton	Alexander Wurz	-7	-0.681
2000-European Grand Prix-Ferrari	Michael Schumacher	3	0.56
2000-European Grand Prix-Ferrari	Rubens Barrichello	-3	-0.56
2000-European Grand Prix-Jaguar	Johnny Herbert	5	-0.935
2000-European Grand Prix-Jaguar	Eddie Irvine	-5	0.935
2000-European Grand Prix-Jordan	Heinz-Harald Frentzen	1	-0.218
2000-European Grand Prix-Jordan	Jarno Trulli	-1	0.218
2000-European Grand Prix-McLaren	Mika Hakkinen	1	-0.256
2000-European Grand Prix-McLaren	David Coulthard	-1	0.256
2000-European Grand Prix-Minardi	Gaston Mazzacane	6	-0.853
2000-European Grand Prix-Minardi	Marc Gene	-6	0.853
2000-European Grand Prix-Prost	Jean Alesi	-9	-2.122
2000-European Grand Prix-Prost		9	2.122
2000-European Grand Prix-Sauber	Pedro Diniz	12	0.392
2000-European Grand Prix-Sauber	Mika Salo	-12	-0.392
2000-European Grand Prix-Williams	Jenson Button	8	-0.372
2000-European Grand Prix-Williams	Ralf Schumacher	-8	0.372
2000-French Grand Prix-Arrows	Pedro de la Rosa	3	0.654
2000-French Grand Prix-Arrows	Jos Verstappen	-3	-0.654
2000-French Grand Prix-BAR	Jacques Villeneuve	18	1.015
2000-French Grand Prix-BAR	Ricardo Zonta	-18	-1.015
2000-French Grand Prix-Benneton	Giancarlo Fisichella	9	0.091
2000-French Grand Prix-Benneton	Alexander Wurz	-9	-0.091
2000-French Grand Prix-Ferrari	Rubens Barrichello	13	-0.415
2000-French Grand Prix-Ferrari	Michael Schumacher	-13	0.415
2000-French Grand Prix-Jaguar	Eddie Irvine	8	0.777
2000-French Grand Prix-Jaguar	Johnny Herbert	-8	-0.777
2000-French Grand Prix-Jordan	Jarno Trulli	1	-0.011
2000-French Grand Prix-Jordan	Heinz-Harald Frentzen	-1	0.011
2000-French Grand Prix-McLaren	David Coulthard	1	0.316
2000-French Grand Prix-McLaren	Mika Hakkinen	-1	-0.316
2000-French Grand Prix-Minardi	Marc Gene	4	0.172
2000-French Grand Prix-Minardi	Gaston Mazzacane	-4	-0.172
2000-French Grand Prix-Prost	Nick Heidfeld	2	0.195
2000-French Grand Prix-Prost	Jean Alesi	-2	-0.195
2000-French Grand Prix-Sauber	Mika Salo	1	0.138
2000-French Grand Prix-Sauber	Pedro Diniz	-1	-0.138
2000-French Grand Prix-Williams	Ralf Schumacher	3	0.614
2000-French Grand Prix-Williams	Jenson Button	-3	-0.614
2000-German Grand Prix-Arrows	Pedro de la Rosa	8	0.535
2000-German Grand Prix-Arrows	Jos Verstappen	-8	-0.535
2000-German Grand Prix-BAR	Jacques Villeneuve	7	0.544
2000-German Grand Prix-BAR	Ricardo Zonta	-7	-0.544
2000-German Grand Prix-Benneton	Alexander Wurz	5	-0.907
2000-German Grand Prix-Benneton	Giancarlo Fisichella	-5	0.907
2000-German Grand Prix-Ferrari	Rubens Barrichello	20	-2.481
2000-German Grand Prix-Ferrari	Michael Schumacher	-20	2.481
2000-German Grand Prix-Jaguar	Eddie Irvine	10	-0.227
2000-German Grand Prix-Jaguar	Johnny Herbert	-10	0.227
2000-German Grand Prix-Jordan	Jarno Trulli	4	1.45
2000-German Grand Prix-Jordan	Heinz-Harald Frentzen	-4	-1.45
2000-German Grand Prix-McLaren	Mika Hakkinen	1	-1.465
2000-German Grand Prix-McLaren	David Coulthard	-1	1.465
2000-German Grand Prix-Minardi	Gaston Mazzacane	5	1.483
2000-German Grand Prix-Minardi	Marc Gene	-5	-1.483
2000-German Grand Prix-Prost	Nick Heidfeld	7	1.599
2000-German Grand Prix-Prost	Jean Alesi	-7	-1.599
2000-German Grand Prix-Sauber	Mika Salo	13	0.732
2000-German Grand Prix-Sauber	Pedro Diniz	-13	-0.732
2000-German Grand Prix-Williams	Jenson Button	3	-0.374
2000-German Grand Prix-Williams	Ralf Schumacher	-3	0.374
2000-Hungarian Grand Prix-Arrows	Jos Verstappen	3	-0.622
2000-Hungarian Grand Prix-Arrows	Pedro de la Rosa	-3	0.622
2000-Hungarian Grand Prix-BAR	Jacques Villeneuve	2	0.335
2000-Hungarian Grand Prix-BAR	Ricardo Zonta	-2	-0.335
2000-Hungarian Grand Prix-Benneton	Alexander Wurz	9	-0.652
2000-Hungarian Grand Prix-Benneton	Giancarlo Fisichella	-9	0.652
2000-Hungarian Grand Prix-Ferrari	Michael Schumacher	2	0.816
2000-Hungarian Grand Prix-Ferrari	Rubens Barrichello	-2	-0.816
2000-Hungarian Grand Prix-Jaguar	Eddie Irvine	10	0.948
2000-Hungarian Grand Prix-Jaguar	Johnny Herbert	-10	-0.948
2000-Hungarian Grand Prix-Jordan	Heinz-Harald Frentzen	1	0.743
2000-Hungarian Grand Prix-Jordan	Jarno Trulli	-1	-0.743
2000-Hungarian Grand Prix-McLaren	Mika Hakkinen	2	-0.036
2000-Hungarian Grand Prix-McLaren	David Coulthard	-2	0.036
2000-Hungarian Grand Prix-Minardi	Marc Gene	2	0.251
2000-Hungarian Grand Prix-Minardi	Gaston Mazzacane	-2	-0.251
2000-Hungarian Grand Prix-Prost	Nick Heidfeld	1	-0.855
2000-Hungarian Grand Prix-Prost	Jean Alesi	-1	0.855
2000-Hungarian Grand Prix-Sauber	Mika Salo	9	0.703
2000-Hungarian Grand Prix-Sauber	Pedro Diniz	-9	-0.703
2000-Hungarian Grand Prix-Williams	Ralf Schumacher	4	0.378
2000-Hungarian Grand Prix-Williams	Jenson Button	-4	-0.378
2000-Italian Grand Prix-Arrows	Jos Verstappen	17	-0.006
2000-Italian Grand Prix-Arrows	Pedro de la Rosa	-17	0.006
2000-Italian Grand Prix-BAR	Ricardo Zonta	8	-1.099
2000-Italian Grand Prix-BAR	Jacques Villeneuve	-8	1.099
2000-Italian Grand Prix-Benneton	Alexander Wurz	6	-0.361
2000-Italian Grand Prix-Benneton	Giancarlo Fisichella	-6	0.361
2000-Italian Grand Prix-Ferrari	Michael Schumacher	16	0.027
2000-Italian Grand Prix-Ferrari	Rubens Barrichello	-16	-0.027
2000-Italian Grand Prix-Jaguar	Johnny Herbert	6	-0.137
2000-Italian Grand Prix-Jaguar	Eddie Irvine	-6	0.137
2000-Italian Grand Prix-Jordan	Jarno Trulli	1	0.309
2000-Italian Grand Prix-Jordan	Heinz-Harald Frentzen	-1	-0.309
2000-Italian Grand Prix-McLaren	Mika Hakkinen	16	0.323
2000-Italian Grand Prix-McLaren	David Coulthard	-16	-0.323
2000-Italian Grand Prix-Minardi	Marc Gene	1	1.024
2000-Italian Grand Prix-Minardi	Gaston Mazzacane	-1	-1.024
2000-Italian Grand Prix-Prost	Jean Alesi	1	0.067
2000-Italian Grand Prix-Prost	Nick Heidfeld	-1	-0.067
2000-Italian Grand Prix-Sauber	Mika Salo	1	0.002
2000-Italian Grand Prix-Sauber	Pedro Diniz	-1	-0.002
2000-Italian Grand Prix-Williams	Ralf Schumacher	12	0.391
2000-Italian Grand Prix-Williams	Jenson Button	-12	-0.391
2000-Japanese Grand Prix-Arrows	Pedro de la Rosa	10	0.022
2000-Japanese Grand Prix-Arrows	Jos Verstappen	-10	-0.022
2000-Japanese Grand Prix-BAR	Jacques Villeneuve	3	1.002
2000-Japanese Grand Prix-BAR	Ricardo Zonta	-3	-1.002
2000-Japanese Grand Prix-Benneton	Giancarlo Fisichella	5	-0.131
2000-Japanese Grand Prix-Benneton	Alexander Wurz	-5	0.131
2000-Japanese Grand Prix-Ferrari	Michael Schumacher	3	0.505
2000-Japanese Grand Prix-Ferrari	Rubens Barrichello	-3	-0.505
2000-Japanese Grand Prix-Jaguar	Johnny Herbert	1	-0.43
2000-Japanese Grand Prix-Jaguar	Eddie Irvine	-1	0.43
2000-Japanese Grand Prix-Jordan	Jarno Trulli	7	-0.436
2000-Japanese Grand Prix-Jordan	Heinz-Harald Frentzen	-7	0.436
2000-Japanese Grand Prix-McLaren	Mika Hakkinen	1	0.402
2000-Japanese Grand Prix-McLaren	David Coulthard	-1	-0.402
2000-Japanese Grand Prix-Minardi	Gaston Mazzacane	1	-0.49
2000-Japanese Grand Prix-Minardi	Marc Gene	-1	0.49
2000-Japanese Grand Prix-Prost	Nick Heidfeld	3	0.068
2000-Japanese Grand Prix-Prost	Jean Alesi	-3	-0.068
2000-Japanese Grand Prix-Sauber	Mika Salo	1	0.086
2000-Japanese Grand Prix-Sauber	Pedro Diniz	-1	-0.086
2000-Japanese Grand Prix-Williams	Jenson Button	12	0.16
2000-Japanese Grand Prix-Williams	Ralf Schumacher	-12	-0.16
2000-Malaysian Grand Prix-Arrows	Jos Verstappen	10	-0.046
2000-Malaysian Grand Prix-Arrows	Pedro de la Rosa	-10	0.046
