ID	Driver	RelativePos	Relative_CP
2010-Renault	Vitaly Petrov	-5	-109.0
2010-Sauber	Kamui Kobayashi	5	26.0
2010-Sauber	Pedro de la Rosa	-5	-26.0
2010-Toro Rosso	S<e9>bastien Buemi	3	3.0
2010-Toro Rosso	Jaime Alguersuari	-3	-3.0
2010-Virgin	Lucas di Grassi	1	0.0
2010-Virgin	Timo Glock	-1	0.0
2010-Williams	Rubens Barrichello	4	25.0
2010-Williams	Nico H<fc>lkenberg	-4	-25.0
2011-Ferrari	Fernando Alonso	2	139.0
2011-Ferrari	Felipe Massa	-2	-139.0
2011-Force India	Adrian Sutil	4	15.0
2011-Force India	Paul di Resta	-4	-15.0
2011-HRT	Vitantonio Liuzzi	3	0.0
2011-HRT	Narain Karthikeyan	-3	0.0
2011-Lotus	Jarno Trulli	1	0.0
2011-Lotus	Heikki Kovalainen	-1	0.0
2011-McLaren	Jenson Button	3	43.0
2011-McLaren	Lewis Hamilton	-3	-43.0
2011-Mercedes	Nico Rosberg	1	13.0
2011-Mercedes	Michael Schumacher	-1	-13.0
2011-Red Bull	Sebastian Vettel	2	134.0
2011-Red Bull	Mark Webber	-2	-134.0
2011-Renault	Vitaly Petrov	1	3.0
2011-Renault	Nick Heidfeld	-1	-3.0
2011-Sauber	Kamui Kobayashi	4	16.0
2011-Sauber	Sergio P<e9>rez	-4	-16.0
2011-Toro Rosso	Jaime Alguersuari	1	11.0
2011-Toro Rosso	S<e9>bastien Buemi	-1	-11.0
2011-Virgin	Jerome d'Ambrosio	1	0.0
2011-Virgin	Timo Glock	-1	0.0
2011-Williams	Rubens Barrichello	2	3.0
2011-Williams	Pastor Maldonado	-2	-3.0
2012-Caterham	Vitaly Petrov	3	0.0
2012-Caterham	Heikki Kovalainen	-3	0.0
2012-Ferrari	Fernando Alonso	5	156.0
2012-Ferrari	Felipe Massa	-5	-156.0
2012-Force India	Nico H<fc>lkenberg	3	17.0
2012-Force India	Paul di Resta	-3	-17.0
2012-HRT	Narain Karthikeyan	1	0.0
2012-HRT	Pedro de la Rosa	-1	0.0
2012-Lotus	Kimi R<e4>ikk<f6>nen	5	111.0
2012-Lotus	Romain Grosjean	-5	-111.0
2012-Marussia	Timo Glock	1	0.0
2012-Marussia	Charles Pic	-1	0.0
2012-McLaren	Lewis Hamilton	1	2.0
2012-McLaren	Jenson Button	-1	-2.0
2012-Mercedes	Nico Rosberg	4	44.0
2012-Mercedes	Michael Schumacher	-4	-44.0
2012-Red Bull	Sebastian Vettel	5	102.0
2012-Red Bull	Mark Webber	-5	-102.0
2012-Sauber	Sergio P<e9>rez	2	6.0
2012-Sauber	Kamui Kobayashi	-2	-6.0
2012-Toro Rosso	Jean-Eric Vergne	1	6.0
