ID	Driver1	Driver2	PosDriver1	PosDriver2	QualiDriver1	QualiDriver2
2000-Spanish Grand Prix-BAR	Ricardo Zonta	Jacques Villeneuve	11	-11	-0.919	0.919
2000-Spanish Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	1	-1	0.441	-0.441
2000-Spanish Grand Prix-Ferrari	Rubens Barrichello	Michael Schumacher	2	-2	-0.442	0.442
2000-Spanish Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	2	-2	0.411	-0.411
2000-Spanish Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	6	-6	-0.129	0.129
2000-Spanish Grand Prix-McLaren	Mika Hakkinen	David Coulthard	1	-1	0.37	-0.37
2000-Spanish Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	1	-1	0.771	-0.771
2000-Spanish Grand Prix-Prost	Nick Heidfeld	Jean Alesi	4	-4	-0.139	0.139
2000-Spanish Grand Prix-Sauber	Mika Salo	Pedro Diniz	15	-15	0.398	-0.398
2000-Spanish Grand Prix-Williams	Ralf Schumacher	Jenson Button	13	-13	0.78	-0.78
2000-United States Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	2	-2	-0.335	0.335
2000-United States Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	2	-2	0.467	-0.467
2000-United States Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	7	-7	0.145	-0.145
2000-United States Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	1	-1	0.334	-0.334
2000-United States Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	4	-4	0.127	-0.127
2000-United States Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	19	-19	-0.061	0.061
2000-United States Grand Prix-McLaren	David Coulthard	Mika Hakkinen	14	-14	0.036	-0.036
2000-United States Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	2	-2	-0.352	0.352
2000-United States Grand Prix-Prost	Nick Heidfeld	Jean Alesi	4	-4	0.411	-0.411
2000-United States Grand Prix-Sauber	Pedro Diniz	Mika Salo	12	-12	0.463	-0.463
2000-United States Grand Prix-Williams	Ralf Schumacher	Jenson Button	6	-6	-0.467	0.467
2001-Australian Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	11	-11	0.586	-0.586
2001-Australian Grand Prix-BAR	Olivier Panis	Jacques Villeneuve	12	-12	-0.083	0.083
2001-Australian Grand Prix-Benneton	Giancarlo Fisichella	Jenson Button	1	-1	-0.174	0.174
2001-Australian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	2	-2	0.371	-0.371
2001-Australian Grand Prix-Jaguar	Luciano Burti	Eddie Irvine	3	-3	-2.013	2.013
2001-Australian Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	11	-11	0.719	-0.719
2001-Australian Grand Prix-McLaren	David Coulthard	Mika Hakkinen	15	-15	-0.549	0.549
2001-Australian Grand Prix-Minardi	Fernando Alonso	Tarso Marques	8	-8	2.571	-2.571
2001-Australian Grand Prix-Prost	Jean Alesi	Gaston Mazzacane	13	-13	0.905	-0.905
2001-Australian Grand Prix-Sauber	Nick Heidfeld	Kimi R<e4>ikk<f6>nen	2	-2	0.378	-0.378
2001-Australian Grand Prix-Williams	Juan Pablo Montoya	Ralf Schumacher	3	-3	-1.019	1.019
2001-Austrian Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	11	-11	-0.364	0.364
2001-Austrian Grand Prix-BAR	Olivier Panis	Jacques Villeneuve	3	-3	0.623	-0.623
2001-Austrian Grand Prix-Benneton	Jenson Button	Giancarlo Fisichella	8	-8	-0.815	0.815
2001-Austrian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	1	-1	0.224	-0.224
2001-Austrian Grand Prix-Jaguar	Eddie Irvine	Pedro de la Rosa	6	-6	0.12	-0.12
2001-Austrian Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	4	-4	0.721	-0.721
2001-Austrian Grand Prix-McLaren	David Coulthard	Mika Hakkinen	20	-20	0.011	-0.011
2001-Austrian Grand Prix-Minardi	Fernando Alonso	Tarso Marques	1	-1	0.945	-0.945
2001-Austrian Grand Prix-Prost	Jean Alesi	Luciano Burti	1	-1	-0.704	0.704
2001-Austrian Grand Prix-Sauber	Kimi R<e4>ikk<f6>nen	Nick Heidfeld	5	-5	-0.185	0.185
2001-Austrian Grand Prix-Williams	Juan Pablo Montoya	Ralf Schumacher	5	-5	0.083	-0.083
2001-Belgian Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	2	-2	1.009	-1.009
2001-Belgian Grand Prix-BAR	Jacques Villeneuve	Olivier Panis	3	-3	1.8	-1.8
2001-Belgian Grand Prix-Benneton	Giancarlo Fisichella	Jenson Button	12	-12	1.919	-1.919
2001-Belgian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	4	-4	1.431	-1.431
2001-Belgian Grand Prix-Jaguar	Pedro de la Rosa	Eddie Irvine	3	-3	1.17	-1.17
2001-Belgian Grand Prix-Jordan	Jean Alesi	Jarno Trulli	8	-8	0.519	-0.519
2001-Belgian Grand Prix-McLaren	David Coulthard	Mika Hakkinen	2	-2	-0.965	0.965
2001-Belgian Grand Prix-Minardi	Tarso Marques	Fernando Alonso	9	-9	-1.61	1.61
2001-Belgian Grand Prix-Prost	Heinz-Harald Frentzen	Luciano Burti	12	-12	4.667	-4.667
2001-Belgian Grand Prix-Sauber	Nick Heidfeld	Kimi R<e4>ikk<f6>nen	1	-1	-0.252	0.252
2001-Belgian Grand Prix-Williams	Ralf Schumacher	Juan Pablo Montoya	9	-9	-0.887	0.887
2001-Brazilian Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	3	-3	-0.047	0.047
2001-Brazilian Grand Prix-BAR	Olivier Panis	Jacques Villeneuve	3	-3	0.136	-0.136
2001-Brazilian Grand Prix-Benneton	Giancarlo Fisichella	Jenson Button	4	-4	0.054	-0.054
2001-Brazilian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	19	-19	0.411	-0.411
2001-Brazilian Grand Prix-Jaguar	Eddie Irvine	Luciano Burti	3	-3	0.179	-0.179
2001-Brazilian Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	6	-6	0.003	-0.003
2001-Brazilian Grand Prix-McLaren	David Coulthard	Mika Hakkinen	21	-21	-0.056	0.056
2001-Brazilian Grand Prix-Minardi	Tarso Marques	Fernando Alonso	10	-10	-0.6	0.6
2001-Brazilian Grand Prix-Prost	Jean Alesi	Gaston Mazzacane	5	-5	1.083	-1.083
2001-Brazilian Grand Prix-Sauber	Nick Heidfeld	Kimi R<e4>ikk<f6>nen	9	-9	0.114	-0.114
2001-Brazilian Grand Prix-Williams	Ralf Schumacher	Juan Pablo Montoya	2	-2	0.075	-0.075
2001-British Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	4	-4	0.539	-0.539
2001-British Grand Prix-BAR	Jacques Villeneuve	Olivier Panis	13	-13	-0.6	0.6
2001-British Grand Prix-Benneton	Giancarlo Fisichella	Jenson Button	2	-2	-0.152	0.152
2001-British Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	1	-1	1.268	-1.268
2001-British Grand Prix-Jaguar	Eddie Irvine	Pedro de la Rosa	3	-3	-0.166	0.166
2001-British Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	13	-13	-0.287	0.287
2001-British Grand Prix-McLaren	Mika Hakkinen	David Coulthard	18	-18	0.398	-0.398
2001-British Grand Prix-Minardi	Fernando Alonso		-16	16	-4.345	4.345
2001-British Grand Prix-Prost	Jean Alesi	Luciano Burti	7	-7	0.343	-0.343
2001-British Grand Prix-Sauber	Kimi R<e4>ikk<f6>nen	Nick Heidfeld	1	-1	0.2	-0.2
2001-British Grand Prix-Williams	Juan Pablo Montoya	Ralf Schumacher	13	-13	0.064	-0.064
2001-Canadian Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	5	-5	0.672	-0.672
2001-Canadian Grand Prix-BAR	Olivier Panis	Jacques Villeneuve	1	-1	0.264	-0.264
2001-Canadian Grand Prix-Benneton	Jenson Button	Giancarlo Fisichella	4	-4	-0.411	0.411
2001-Canadian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	15	-15	0.978	-0.978
2001-Canadian Grand Prix-Jaguar	Pedro de la Rosa	Eddie Irvine	15	-15	0.001	-0.001
2001-Canadian Grand Prix-Jordan	Ricardo Zonta	Jarno Trulli	4	-4	-0.869	0.869
2001-Canadian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	9	-9	-0.556	0.556
2001-Canadian Grand Prix-Minardi	Tarso Marques	Fernando Alonso	10	-10	-4.908	4.908
